"Sales","Bán hàng"
"Sender Name","Tên người gửi"
"Approved","Đã chấp thuận"
"Save and Apply","Lưu và áp dụng"
"Product Tax Class","Nhóm thuế Sản phẩm"
"Block was succesfully deleted","Đã xóa khối xong"
"Products Report (Total)","Báo cáo Sản phẩm (Tổng)"
"Open","Mở"
"Any","Bất kỳ"
"Edit Store","Sửa cửa hàng"
"Added","Đã thêm"
"Configurable Product Settings","Cài đặt cấu hình cho Sản phẩm"
"Content","Nội dung"
"Role Name","Tên vai trò"
"Select All","Chọn tất cả"
"in","trong"
"Are you sure you want to take this action?","Bạn có muốn thực hiện thao tác này không?"
"Role Information","Thông tin vai trò"
"Options Control","Kiểm soát tuỳ chọn"
"Meta Keywords","Từ khóa Meta"
"Please select products to add","Hãy chọn Sản phẩm để thêm vào"
"Sender","Người gửi"
"Product","Sản phẩm"
"Tax Rules","Quy tắc thuế"
"Newsletter Start","Bắt đầu thư báo"
"Unable to find a block to delete","Không tìm thấy khối cần xóa"
"New Tax Rate","Thuế suất mới"
"Rating was successfully deleted","Đánh giá đã được xoá"
"Error during import: %s","Có lỗi khi nhập: %s"
"Delete Answer","Xóa Giải đáp"
"Edit Customer Groups","Sửa nhóm khách hàng"
"Please, select County","Hãy chọn Quốc gia"
"Customer Tags","Thẻ khách hàng"
"(eg: domain.com/identifier)","(ví dụ: domain.com/mã)"
"No search modules registered","Không có phân hệ tìm kiếm nào đã đăng ký"
"New Product Tax Class","Nhóm thuế Sản phẩm mới"
"Save Rule","Lưu quy tắc"
"Edit Sorting","Sửa thứ tự"
"The block you are trying to save no longer exists","Khối đang muốn lưu không còn tồn tại"
"Customers Report","Báo cáo khách hàng"
"Download","Tải xuống"
"Detail","Chi tiết"
"Created On","Được tạo ở"
"Category delete error","Lỗi xóa Loại hàng"
"review successfully deleted","Nhận xét đã được xoá"
"Root","Gốc"
"ID","Mã"
"Number of Responses","Số hồi đáp"
"Meta Description","Mô tả meta"
"Source Model","Mô hình nguồn"
"Unselect All Stores","Bỏ chọn mọi cửa hàng"
"Add New Group","Thêm Nhóm"
"Summary Rating","Tóm tắt Đánh giá"
"Rate","Mức"
"Yes","Có"
"Search Query","Truy vấn tìm kiếm"
"Template Information","Thông tin mẫu"
"Date Start","Ngày bắt đầu"
"Total","Tổng số"
"Price","Giá"
"Filterable (no results)","Có thể lọc (không kết quả)"
"Date Expire","Ngày hết hạn"
"Number Fulfilled","Số đã điền"
"New Category","Loại hàng mới"
"Save Rating","Lưu đánh giá"
"Delete Option","Xóa Tùy chọn"
"Save Invoice","Lưu hóa đơn"
"Unable to apply rules","Không thể áp dụng quy tắc"
"New Tag","Thẻ mới"
"User Email","Email người dùng"
"Based On","Dựa trên"
"Edit Customer's Address","Sửa địa chỉ khách hàng"
"New Order","Đơn hàng mới"
"Group Name","Tên nhóm"
"Tax Rate Information","Thông tin thuế suất"
"Queue Information","Thông tin hàng đợi"
"Guest","Khách"
"Varchar","Varchar"
"Number of results<br/>(For last time placed)","Số kết quả <br/> (Cho lần cuối cùng)"
"Add New Customer Group","Thêm Nhóm khách hàng"
"Product attribute was successfully deleted","Thuộc tính Sản phẩm đã được xóa"
"Unable to find answer to delete.","Không thấy Giải đáp cần xóa."
"Unable to find a tag to delete","Không tìm thấy thẻ cần xóa"
"Meta Data","Siêu dữ liệu"
"Save User","Lưu người dùng"
"Template Type","Kiểu mẫu"
"Invalid %s ""%s"" in the Row #%s","%s không hợp lệ ""%s"" tại dòng #%s"
"Reset","Xác lập lại"
"Hits","Lượt xem"
"Page was successfully deleted","Trang đã được xóa"
"Page Title","Tựa trang "
"User with the same User Name or Email aleady exists","Người dùng có cùng tên hoặc email đã tồn tại"
"Customers Tagged '%s'","Khách hàng gắn thẻ '%s'"
"Region/State","Vùng/Miền"
"Values Required","Giá trị bắt buộc"
"This order no longer exists","Đơn hàng này không tồn tại"
"Account status","Tình trạng tài khoản"
"Product Tags","Thẻ Sản phẩm"
"Item Status","Tình trạng Sản phẩm"
"Interface Language","Ngôn ngữ giao diện"
"Cancelled","Đã hủy bỏ"
"Position","Vị trí"
"Sản phẩm Ordered","Sản phẩm đã đặt"
"Rating was successfully saved","Đánh giá đã được lưu"
"New Product","Sản phẩm mới"
"Purchase On","Mua vào"
"Fiterable (with results)","Có thể lọc (với kết quả)"
"Password","Mật mã"
"Shipped to First Name","Vận chuyển - Tên"
"Catalog Input Type for Store Owner","Kiểu nhập Catalog cho chủ cửa hàng"
"Decimal Number","Số thập phân"
"Wishlist","Danh sách yêu thích"
"Create New Invoice","Tạo hóa đơn mới"
"Credit Memo was saved succesfully","Phiếu cấn trừ tiền đã được lưu"
"Tax Rates","Thuế suất"
"Submit Credit Memo","Gửi Phiếu cấn trừ"
"Unable to find a page to delete","Không tìm thấy trang cần xóa"
"Purchased from (store)","Mua từ (cửa hàng)"
"Added From","Thêm từ"
"Payment Method","Phương thức thanh toán"
"Poll was successfully saved","Thăm dò ý kiến đã được lưu"
"New Rating","Đánh giá mới"
"Delete Tier","Xóa Bậc"
"Telephone","Điện thoại"
"New Page","Trang mới"
"Error Text","Văn bản lỗi"
"Edit Rule '%s'","Sửa quy tắc '%s'"
"Page Information","Thông tin trang"
"Delete Page","Xóa Trang"
"There are no Sản phẩm in customer's wishlist at the moment","Hiện không có Sản phẩm nào trong Danh sách yêu thích của khách"
"This attribute no longer exists","Thuộc tính này không tồn tại"
"CMS Pages","Trang CMS"
"Attribute set was successfully removed.","Bộ thuộc tính đã được xóa."
"You successfully logged out.","Bạn đã thoát khỏi hệ thống."
"Total Tags","Tổng thẻ"
"Visibility","Thấy được"
"Edit Template","Sửa mẫu"
"Frontend Properties","Đặc tính Mặt tiền"
"Pending","Chưa giải quyết"
"Error while deleting a group. Please try again later.","Có lỗi khi xóa nhóm. Xin thử lại sau."
"Use website","Sử dụng web"
"No problems found","Không thấy vấn đề gì"
"Edit Store '%s'","Sửa cửa hàng '%s'"
"Delete Customer Group","Xóa Nhóm khách hàng"
"CMS Blocks","Khối CMS"
"Popular Tags","Thẻ phổ biến"
"Edit Page","Sửa trang"
"Edit Tax Rate","Sửa thuế suất"
"Set Name","Tên bộ"
"Tax class","Nhóm thuế"
"Add New Rule","Thêm Quy tắc"
"Uses per customer","Dùng trên mỗi khách"
"HTTPS (SSL)","HTTPS (SSL)"
"Template Content","Nội dung mẫu"
"Order was not cancelled","Đơn hàng chưa hủy bỏ"
"Invoice #%s","Hóa đơn #%s"
"Comparable on Front-end","Có thể so sánh ở Mặt tiền"
"Save Template","Lưu mẫu"
"Newsletter Subscription","Đăng ký thư báo"
"Delete User","Xóa Người dùng"
"Invalid Shipping Price ""%s"" in the Row #%s","Phí vận chuyển ""%s"" không hợp lệ tại hàng #%"
"Customers Tags","Thẻ khách hàng"
"Image","Hình"
"Subscribers From","Người đăng ký từ"
"Account Information","Thông tin tài khoản"
"Order status was successfully changed","Tình trạng đơn hàng đã được thay đổi"
"New Set Name","Tên bộ mới"
"Create Order","Tạo đơn hàng"
"Invoice was not saved","Hóa đơn chưa được lưu"
"Invoice was updated succesfully","Hóa đơn đã được cập nhật"
"Invoice #","Hóa đơn #"
"Static","Tĩnh"
"Date Updated","Ngày cập nhật"
"Tag use","Thẻ dùng"
"Order was successfully cancelled","Đơn đặt hàng đã được hủy bỏ"
"Message","Thông điệp"
"Subject","Chủ đề"
"Save Customer Group","Lưu nhóm khách hàng"
"This page no longer exists","Trang này không tồn tại"
"Search was successfully saved","Lệnh tìm kiếm đã được lưu"
"Rating information","Thông tin Đánh giá"
"Answer Title","Tựa Giải đáp"
"Order #%s (%s)","Đơn hàng #%s (%s)"
"No","Không"
"Edit Invoice #","Sửa hóa đơn #"
"Edit Attribute Set '{"this->_getSetData()->getAttributeSetName()}'","Sửa bộ thuộc tính '{"this->_getSetData()->getAttributeSetName()}'"
"All Products","Mọi Sản phẩm"
"Export CSV","Xuất ra CSV"
"Save And Resume","Lưu và tóm tắt"
"View Newsletter","Xem thư báo"
"To Date","Đặt ngày"
"Matching Products","Đối chiếu Sản phẩm"
"The page you are trying to save no longer exists","Trang bạn đang lưu không tồn tại"
"Save Class","Lưu nhóm"
"Edit %s Tax Class","Sửa Nhóm thuế %s"
"User description","Mô tả người dùng"
"Config","Cấu hình"
"Order Total","Tổng đơn hàng"
"Store","Cửa hàng"
"Please, select Customer Tax Class","Hãy chọn Nhóm thuế khách hàng"
"Error while saving this set. Set with the same name already exists.","Có lỗi khi lưu bộ này. Tập cùng tên đã tồn tại."
"Add New Role","Thêm Vai trò"
"Discount","Giảm giá"
"Unsubscribe Selected","Đã chọn Thôi đăng ký"
"Yes/No","Có/không"
"Edit Email Template","Soạn thảo Email mẫu"
"Visible In","Thấy ở"
"Manage Blocks","Quản lý khối"
"New Tax Rule","Quy tắc thuế mới"
"This block no longer exists","Khối này không còn nữa"
"Delete Attribute","Xóa Thuộc tính"
"Decimal","Thập phân"
"Edit System Template","Sửa mẫu hệ thống"
"Frontend Model","Mô hình Mặt tiền"
"Default Store","Cửa hàng mặc định"
"Detailed Rating","Đánh giá chi tiết"
"Save And Continue Edit","Lưu và tiếp tục soạn"
"Are you sure you want to do this?","Bạn có chắc muốn làm thế không?"
"Customer Tax Class","Nhóm thuế khách hàng"
"Feature Products","Sản phẩm đặc trưng"
"New review","Nhận xét mới"
"Number of Uses","Số lần sử dụng"
"Invalid Answer","Giải đáp không hợp lệ"
"Website Information","Thông tin trang web"
"Attribute set with the same name already exists.","bộ thuộc tính có cùng tên đã tồn tại."
"Searchable","Có thể tìm"
"Error while saving this role. Please try again later.","Có lỗi khi lưu vai trò. Hãy thử lại sau."
"Group was successfully deleted","Nhóm đã được xóa"
"Order was not changed","Đơn hàng chưa đổi"
"Per Item","Trên mỗi Sản phẩm"
"Edit Product Attribute","Sửa thuộc tính"
"System Properties","Tính năng hệ thống"
"County","Hạt"
"General Information","Thông tin khái quát"
"ex. http://domain.com","ví dụ http://miền.com"
"Manage Catalog Categories","Quản lý các loại Catalog"
"Wishlist vs. Regular Order","Danh sách yêu thích so với đơn hàng thường xuyên"
"New Template","Mẫu mới"
"Delete Website","Xóa Trang web"
"All stores","Mọi cửa hàng"
"Purchased On","Mua"
"Edit Order Status","Sửa tình trạng đơn hàng"
"Layout","Sơ đồ"
"Password Confirmation","Khẳng định mật mã"
"Tag was successfully deleted","Thẻ đã được xóa"
"Catalog Searches","Lệnh tìm Catalog"
"To","Đến"
"Error while deleting this role. Please try again later.","Có lỗi khi xóa vai trò này. Hãy thử lại sau."
"Select All Stores","Chọn mọi cửa hàng"
"Offline","Ngoại tuyến"
"Recently Viewed","Được xem gần đây"
"Description","Mô tả"
"Tax class was successfully deleted","Nhóm thuế đã được xóa"
"Are you sure?","Bạn có chắc?"
"Never","Không bao giờ"
"Block Information","Thông tin"
"Email","Email"
"Included Customer Groups","Nhóm khách hàng kèm theo"
"Disable","Vô hiệu"
"Delete Class","Xóa Lớp"
"Poll Information","Thông tin thăm dò"
"Create Newsletter Template","Tạo mẫu thư báo"
"Coupons","Phiếu mua hàng"
"Customer","Khách hàng"
"Last review","Xem xét cuối"
"Polls","Thăm dò"
"Edit","Sửa"
"Country","Quốc gia"
"Remove","Gỡ bỏ"
"Account successfully saved","Tài khoản đã được lưu"
"Days in Wishlist","Ngày trong Danh sách yêu thích"
"Page was successfully saved","Trang đã được lưu"
"Manage Product Sets","Quản lý bộ Sản phẩm"
"review Details","Xem xét Chi tiết"
"Add New Rating","Thêm Đánh giá"
"for","cho"
"You cannot update this attribute","Bạn không thể cập nhật mẫu này"
"Attribute Code","Mã thuộc tính"
"Add New Set","Thêm Bộ"
"Associated Products","Các Sản phẩm liên hệ"
"Edit Newsletter Template","Soạn thảo mẫu thư báo"
"There is already a customer registered using this email","Có một khách hàng đã đăng ký đang sử dụng email này"
"Processed","Đã xử lý"
"Credit Card Type","Loại thẻ tín dụng"
"Rating isn't Available","Không có Đánh giá nào"
"This tab contains invalid data. Please, solve the problem before saving.","Tab này chứa dữ liệu không hợp lệ. Xin hãy sửa trước khi lưu."
"Remove Item","Bỏ Sản phẩm"
"Subscribe to Newsletter","Đăng ký thư báo"
"Are you sure that you want to delete this template?","Bạn có chắc muốn xóa mẫu này không?"
"3 stars","3 sao"
"Order Date: %s","Ngày đặt hàng:%s"
"Number of times wishlists have been shared (emailed): %s","Số lần Danh sách yêu thích được chia sẻ (gửi email): %s"
"Double click on a group to rename it","Nhấp đúp vào nhóm để đổi tên"
"Total Due","Tổng thuế"
"Gift Certificate","Phiếu tặng quà"
"Assigned Answers","Giải đáp định sẵn"
"Fax","Fax"
"Magento Admin","Quản trị Magento"
"Newsletter Message Preview","Xem trước thông điệp thư báo"
"Name on the Card: %s","<strong>Tên trên thẻ:</strong> <span class=""nowrap"">%s</span>"
"4 stars","4 sao"
"Company","Công ty"
"Invoice Date","Ngày tạo hóa đơn"
"Visitors","Khách viếng thăm"
"5 stars","5 sao"
"Choose Store","Chọn cửa hàng"
"Import Tax Rates","Nhập thuế suất"
"Attribute Name:","Tên thuộc tính:"
"Product In Stores","Sản phẩm trong cửa hàng"
"Option Title:","Tên chọn lựa:"
"Order Status","Tình trạng đơn hàng"
"Shipping","Vận chuyển"
"Unassigned Attributes","Thuộc tính chưa gán"
"Sorry, this feature is coming soon...","Xin lỗi, chức năng này sắp có…"
"Option","Lựa chọn"
"Add User to Role","Gán người dùng vào vai trò"
"Invoice Status: %s","Tình trạng hóa đơn: %s"
"Magento Commerce - Administrative Panel","Bảng Quản trị"
"Fixed","Cố định"
"Name on the Card","Tên trên thẻ"
"Move Item to:","Chuyển đến:"
"Same as Billing Address","Giống địa chỉ thanh toán"
"Are you sure you want to cancel adding of this address?","Bạn có chắc muốn thôi không thêm địa chỉ này nữa không?"
"Interface Locale: %s","Ngôn ngữ giao diện: %s"
"Apply Coupon Code","Áp dụng mã phiếu mua hàng"
"Invoice Date: %s","Ngày tạo hóa đơn: %s"
"Expiration Date: %s","<strong>Ngày hết hạn:</strong> <span class=""nowrap"">%s</span>"
"per page","mỗi trang"
"Add New Class","Thêm Lớp"
"Super product attributes configuration","Cấu hình siêu thuộc tính Sản phẩm"
"Magento ver. %s","Magento bản %s"
"Who's Online","Ai đang trực tuyến"
"Previous page","Trang trước"
"Something went wrong...","Có trục trặc…"
"Lifetime Sales","Bán trọn đời"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Set root category for this store in the <a href=""%s"">configuration</a>","Định loại gốc cho cửa hàng này trong <a href=""%s"">cấu hình</a>"
"Set as Default Shipping Address","Đặt làm địa chỉ vận chuyển mặc định"
" and above."," và trên."
"Logged in as %s","Đăng nhập là %s"
"Failed","Thất bại"
"Are you sure that you want to delete this tag?","Bạn có chắc muốn xóa thẻ này không?"
"Option:","Tuỳ chọn:"
"Customers that have wishlist: %s%","Khách hàng có Danh sách yêu thích: %s%"
"Are you sure you want to delete this address?","Bạn có chắc muốn xóa địa chỉ này không?"
"Percentage","Phần trăm"
"Log in to Admin Panel","Đăng nhập vào Admin Panel"
"Thumbnail","Hình nhỏ"
"Please enter a new group name","Hãy nhập một tên nhóm mới"
"Backups Control","Kiểm soát Sao lưu"
"Add to Queue","Đưa vào hàng đợi"
"Number of Sản phẩm bought from a wishlist: %s","Số Sản phẩm mua từ một Danh sách yêu thích: %s"
"Newsletter Subscribers","Người đăng ký thư báo"
"Set as Default Billing Address","Đặt là địa chỉ thanh toán mặc định"
"Are you sure you want to delete it?","Bạn có chắc muốn xóa nó không?"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Chúng tôi đang tiếp tục viết thêm chức năng cho Magento. Xin cảm ơn sự ủng hộ của bạn."
"User Name:","Người dùng:"
"Order Comment:","Bình luận đơn hàng:"
"Card Verification Number","Số xác minh thẻ"
"&copy; Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc","&copy; Copyright 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento là nhãn hiệu đã đăng ký của Irubin Consulting Inc"
"Default Shipping Address","Địa chỉ vận chuyển mặc định"
"Customer Balance","Cân đối khách hàng"
"Current Configuration Scope:","Phạm vi Cấu hình:"
"Please select one of each of the ratings above","Hãy chọn một trong các Đánh giá trên"
"Log Out","Thoát"
"Sorry, no quotes are available for this order at this time.","Xin lỗi, hiện không có báo giá nào cho đơn đặt hàng này."
"Customer has no addresses","Khách hàng không có địa chỉ"
"Comment","Bình luận"
"Loading...","Đang tải…"
"Credit Memo Date: %s","Ngày cấn trừ: %s"
"Price:","Giá:"
"Qty To Return","Số lượng trả về "
"New Customer Address","Địa chỉ khách hàng mới"
"Export to:","Xuất ra:"
"Images","Hình"
"Total Paid","Tổng Tiền trả"
"Credit Card Number: %s","<strong>Số thẻ tín dụng:</strong> <span class=""nowrap"">%s</span>"
"Update Qty","Cập nhật số lượng"
"Product Categories","Loại Sản phẩm"
"City","Tỉnh/thành"
"Sản phẩm Shipped","Sản phẩm đã chuyển"
"Select from existing customer addresses:","Chọn từ địa chỉ khách hàng hiện tại:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Hãy xác nhận bạn muốn sang trang web khác. Mọi dữ liệu chưa lưu sẽ bị mất."
"Primary Billing Address","Địa chỉ thanh toán gốc"
"Order History","Theo dõi đặt hàng"
"Date and Time","Ngày giờ"
"Street Address","Địa chỉ"
"Are you sure you want to delete this category?","Bạn có chắc muốn xóa loại hàng này?"
"User Roles","Vai trò người dùng"
"Answer Title:","Tựa đề Giải đáp:"
"Customer Group: %s","Nhóm khách hàng: %s"
"Groups","Nhóm"
"Are you sure the you want to remove this item?","Bạn có chắc muốn xóa Sản phẩm này?"
"Number of wishlist conversions: %s","Số lần chuyển đổi Danh sách yêu thích: %s"
"Unable to complete request. Please try again later.","Không thể hoàn tất yêu cầu. Hãy thử lại sau."
"Global Record Search","Tìm toàn thể"
"Send Comment to the Customer","Gửi bình luận đến khách hàng"
"Sort Order","Thứ tự sắp xếp"
"Please select one or more attributes.","Hãy chọn một hoặc nhiều thuộc tính."
"Please add one or more options","Hãy thêm một hoặc nhiều lựa chọn"
"Connect with the Magento Community","Kết nối Cộng đồng Magento"
"Manage Options (values of your attribute)","Quản lý lựa chọn (giá trị của thuộc tính)"
"Add New Tax Rule","Thêm Quy tắc thuế"
"Are you sure you want to delete this user from this role?","Bạn có muốn xóa người này khỏi vai trò này không?"
"Help Us Keep Magento Healthy - Report All Bugs","Giúp Magento phát triển - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Báo cáo Lỗi</strong></a>"
"Dashboard Control","Kiểm soát Bảng theo dõi"
"Credit Card Number","Số thẻ tín dụng"
"Total %d records found","Tổng cộng có %d mẫu tin"
"Sales Statistics","Thống kê bán hàng"
"Purchase Order Number","Số đơn mua hàng"
"Average Sale","Doanh số bán trung bình"
"Log into Magento Admin Page","Đăng nhập vào trang quản trị"
"Account Created in: %s","<strong>Tài khoản tạo ra trong:</strong> %s"
"Order Status: %s","Tình trạng đơn hàng: %s"
"Password:","Mật mã:"
"Personal Information","Thông tin cá nhân"
"Votes Count:","Đếm phiếu:"
"Next page","Trang tiếp"
"(Copy data from: %s)","(Chép dữ liệu từ: %s)"
"Export Tax Rates","Xuất Thuế suất"
"1 star","1 sao"
"Sản phẩm that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Sản phẩm bạn không muốn trưng bày trong Catalog hoặc kết quả tìm kiếm phải ở tình trạng 'Vô hiệu' trong cửa hàng đó."
"Add New Template","Thêm Mẫu"
"Change Order Status","Đổi tình trạng đơn hàng"
"Credit Card Type: %s","<strong>Loại thẻ tín dụng:</strong> <span class=""nowrap"">%s</span>"
"Add to Order","Thêm vào đơn hàng"
"What is this?","Cái gì đây?"
"Invoice Status: Paid","Tình trạng hóa đơn: đã trả tiền"
"Customer Addresses","Địa chỉ khách hàng "
"Purchase Order Number: %s","<strong>Số Đơn đặt hàng:</strong> <span class=""nowrap"">%s</span>"
"Expiration Date: %s/%s","Ngày hết hạn: %s/%s"
"Expiration Date","Ngày hết hạn"
"Last Log In: %s (%s)","<strong>Đăng nhập lần cuối:</strong> %s (<strong>%s</strong>)"
"Number of wishlists: %s","Số Danh sách yêu thích: %s"
"Big Image","Hình lớn"
"Tax Rates Import / Export","Nhập/xuất Thuế suất"
"Magento Logo","Logo Magento"
"A name is required","Cần có tên"
"images/logo.gif","images/logo.gif"
"Email Address","Địa chỉ Email"
"Email Preview","Xem Email"
"If you do not specify an option value for a store then the default value will be used.","Nếu bạn không xác lập giá trị lựa chọn cho cửa hàng thì giá trị mặc định sẽ được dùng."
"of %s pages","của %s trang"
"Account Created on: %s","<strong>Tài khoản tạo lúc:</strong> %s"
"Credit Card Number: xxxx-%s","<strong> Số thẻ tín dụng:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Haven't been charged yet","Chưa thanh toán"
"Customer Notes","Ghi chú khách hàng"
"Login","Đăng nhập"
"Page","Trang"
"Add New Address","Thêm Địa chỉ"
"Are you sure that you want to strip all tags?","Bạn có muốn gỡ toàn bộ thẻ?"
"Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007.","Magento &trade; là nhãn hiệu đã đăng ký của Irubin Consulting Inc. DBA <a href=""http://www.varien.com"" target=""varien_external"">Varien</a>. &copy; Copyright 2007."
"Roles Resources","Tài nguyên vai trò"
"Manage Titles (Size, Color, etc.)","Quản lý tựa đề (kích thước, màu sắc, …)"
"Are you sure that you want to strip tags?","Bạn có muốn gỡ thẻ?"
"Are you sure that you want to remove this item?","Bạn có muốn bỏ Sản phẩm này?"
"You cannot remove system attribute from this set.","Bạn không thể xóa thuộc tính hệ thống khỏi bộ này."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này chứa các thuộc tính hệ thống. Hãy chuyển các thuộc tính hệ thống sang nhóm khác và thử lại."
"The information in this tab has been changed.","Thông tin trong tab này đã bị thay đổi."
"Number of wishlist referrals: %s","Số Sản phẩm trong Danh sách yêu thích: %s"
"Today is %s","Hôm nay là %s"
"2 stars","2 sao"
"Shipments","Lô hàng"
"Terms and conditions","Điều khoản và điều kiện"
"Manage Tax Zones & Rates","Quản lý thuế và giá"
"Url Rewrite Management","Quản lý url rewrite"
"Reviews and Ratings","Nhận xét và bình chọn"
"Customer Reviews","Nhận xét của khách hàng"
"Pending Reviews","Nhận xét đang chờ kiểm duyệt"
"All Reviews","Tất cả các nhận xét"
"Manage Items","Quản lý các mục"
"Products Ordered","Sản phẩm đặt hàng"
"Compilation (Beta)","Biên dịch (bản beta)"
"Import/Export","Import/Export"
"Profiles","Hồ sơ"
"Advanced Profiles","Hồ sơ nâng cao"
"Design","Giao diện"
"Manage Currency Rates","Quản lý tiền tệ"
"Cache Management","Quản lý cache"
"Credit Memos","Lưu trữ tín dụng"
"Average Orders","Đơn hàng trung bình"
"Most Viewed Products","Sản phẩm được xem nhiều nhất"
"Search Term","Từ khóa được tìm kiếm"
"Amounts","Số tiền"
"Customers by orders total","Khách hàng có nhiều đơn hàng"
"Customers by number of orders","Khách hàng có nhiều sản phẩm trong đơn hàng"
"Customers Reviews","Khách hàng có nhiều nhận xét"
"Default country","Quốc gia mặc định"
"Allow countries","Cho phép các quốc gia"
"Countries options","Tùy chọn các quốc gia"
"Locale options","Tùy chọn đất nước"
"Timezone","Múi giờ"
"Locale","Đất nước"
"First Day of Week","Ngày đầu tuần"
"Weekend Days","Cuối tuần"
"Url Options","Tùy chọn Url"
"Search Engines Optimization","Công cụ tìm kiếm tối ưu"
"Default Pages","Trang mặc định"
"Currency Setup","Cài đặt tiền tệ"
"Default display currency","Tiền tệ mặc định"
"Allowed currencies","Cho phép tiền tệ của các quôc gia"
"Remove space from currency sign","Xóa khoảng trắng"
"Digits Options","Tùy chọn chữ số"
"Currency Options","Tùy chọn tiền tệ"
