"# of Use","# of Use"
"%s Item(s)","%s m&#7863;t h&agrave;ng"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Settings"
"Shop by","T&igrave;m theo"
"Shopping Options","T&igrave;m theo"
"Show","Hi&#7875;n th&#7883;"
"Show Details","Xem chi ti&#7871;t"
"Show Tags","Hi&#7875;n th&#7883; Tags"
"Simple Product","Sản phẩm đơn giản"
"Site Map","Site Map"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort Order","Sort Order"
"Sort by","Xem theo"
"Source Model","Source Model"
"Special Price:","Gi&aacute; m&#7899;i"
"Starting at:","&Aacute;p d&#7909;ng t&#7915; ng&agrave;y:"
"Static","Static"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Status","Trang th&aacute;i"
"Stock Availability","Stock Availability"
"Store","Store"
"Store View","Store View"
"Stretch","Stretch"
"Subscribe to Feed","RSS Feeds"
"Subscribe to RSS Feed","RSS Feeds"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"Synonym for","Synonym for"
"System","H&#7879; th&#7889;ng"
"System Properties","C&#7845;u h&igrave;nh h&#7879; th&#7889;ng"
"Tag Name","T&ecirc;n Tag"
"Text","Text"
"Text Area","Text Area"
"Text Field","Text Field"
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no products matching the selection.","S&#7843;n ph&#7849;m &#273;ang c&#7853;p nh&#7853;t."
"There was an error while adding products to websites","There was an error while adding products to websites"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","There was an error while removing products from websites"
"There was an error while updating product(s) attributes","There was an error while updating product(s) attributes"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","This attribute no longer exists"
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"This search no longer exists","This search no longer exists"
"Tier Pricing","B&#7853;c gi&aacute;"
"Tile","Tile"
"Time","Time"
"Title","Title"
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"Unable to complete request. Please try again later.","Unable to complete request. Please try again later."
"Unable to find a search term to delete","Unable to find a search term to delete"
"Unable to find an attribute to delete","Unable to find an attribute to delete"
"Unable to get product id.","Unable to get product id."
"Unassigned Attributes","Unassigned Attributes"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Unknown attribute: %s","Unknown attribute: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update assigned product","Th&ocirc;ng tin s&#7843;n ph&#7849;m &#273;&#432;&#7907;c c&#7853;p nh&#7853;t"
"Update attributes","C&#7853;p nh&#7853;t thu&#7897;c t&iacute;nh"
"Update category","C&#7853;p nh&#7853;t danh m&#7909;c"
"Update product","C&#7853;p nh&#7853;t s&#7843;n ph&#7849;m"
"Update product image","C&#7853;p nh&#7853;t h&igrave;nh s&#7843;n ph&#7849;m"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Url Rewrite Management"
"Use Config Settings","S&#7917; d&#7909;ng c&aacute;c c&#7845;u h&igrave;nh c&agrave;i &#273;&#7863;t"
"Use Default Value","S&#7917; d&#7909;ng c&aacute;c gi&aacute; tr&#7883; m&#7863;c &#273;&#7883;nh"
"Use In Layered Navigation","Use In Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use To Create Configurable Product","S&#7917; d&#7909;ng &#273;&#7875; t&#7841;o c&#7845;u h&igrave;nh s&#7843;n ph&#7849;m"
"Use categories path for product URLs","S&#7917; d&#7909;ng c&aacute;c lo&#7841;i &#273;&#432;&#7901;ng d&#7851;n cho s&#7843;n ph&#7849;m"
"Use in advanced search","S&#7917; d&#7909;ng t&igrave;m ki&#7871;m chi ti&#7871;t"
"Use in quick search","S&#7917; d&#7909;ng t&igrave;m ki&#7871;m nhanh"
"Values Required","Gi&aacute; tr&#7883; y&ecirc;u c&#7847;u"
"Varchar","Varchar"
"View as","Xem v&#7899;i"
"Virtual Product","Sản phẩm kết nối"
"Visibility", "V&#7883; tr&iacute; hi&#7875;n th&#7883; s&#7843;n ph&#7849;m"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Hi&#7875;n th&#7883; tr&ecirc;n trang ng&#432;&#7901;i d&ugrave;ng"
"Watermark","Watermark"
"Watermark Default Size","Watermark Default Size"
"Watermark Position","Watermark Position"
"Website","Website"
"Websites","Websites"
"Yes","Có"
"Yes/No","Có/Không"
"You cannot delete this attribute","B&#7841;n kh&ocirc;ng th&#7875; xo&aacute; thu&#7897;c t&iacute;nh n&agrave;y"
"You cannot edit this attribute","B&#7841;n kh&ocirc;ng th&#7875; s&#7917;a thu&#7897;c t&iacute;nh n&agrave;y"
"You cannot remove system attribute from this set.","You cannot remove system attribute from this set."
"You cannot update this attribute","You cannot update this attribute"
"You have no items to compare.","Ch&#432;a c&oacute; s&#7843;n ph&#7849;m n&agrave;o &#273;&#7875; so s&aacute;nh."
"You may also be interested in the following product(s)","B&#7841;n c&#361;ng c&oacute; th&#7875; quan t&acirc;m &#273;&#7871;n c&aacute;c s&#7843;n ph&#7849;m sau"
"Zoom In","Nh&#7887; l&#7841;i"
"Zoom Out","Xem l&#7899;n h&#417;n"
"[GLOBAL]","[GLOBAL]"
"and","v&agrave;"
"and above","v&agrave; &#7903; tr&ecirc;n"
"categories","nh&oacute;m s&#7843;n ph&#7849;m"
"ex. http://domain.com","ex. http://domain.com"
"per page","tr&ecirc;n trang"
"products","s&#7843;n ph&#7849;m"
"save","l&#432;u"
"select all","ch&#7885;n h&#7871;t"
"unselect all","b&#7887; ch&#7885;n h&#7871;t"
"Store Catalog", "Nh&oacute;m s&#7843;n ph&#7849;m"
"New Items", "S&#7843;n ph&#7849;m m&#7899;i"
"Sale Items", "S&#7843;n ph&#7849;m gi&#7843;m gi&aacute;"
"Available until", "&Aacute;p d&#7909;ng t&#7899;i: "
"Forum", "Di&#7877;n &#273;&agrave;n"
"Investors Page", "Nh&agrave; &#273;&#7847;u t&#432;"
"compare at", "Gi&aacute; th&#7883; tr&#432;&#7901;ng"
"you save", "Ti&#7871;t ki&#7879;m"
"Size Chart", "Tra c&#7913;u k&iacute;ch c&#7905;"
"Brand Price","Gi&aacute; ch&iacute;nh h&atilde;ng"
"Beseller Products","S&#7843;n ph&#7849;m b&aacute;n ch&#7841;y"
"Support","T&#432; v&#7845;n nhanh"
"Bundle Product", "Gói sản phẩm"
"Downloadable Product", "Sản phẩm download"
"Data Sheet", "T&agrave;i li&#7879;u k&#7929; thu&#7853;t"
"Manufacturers Part No.", "M&atilde; h&atilde;ng s&#7843;n xu&#7845;t"
"Manufacturer", "H&atilde;ng s&#7843;n xu&#7845;t"
"Country", "N&#432;&#7899;c s&#7843;n xu&#7845;t"
"Voltage standard", "&#272;i&#7879;n &aacute;p ti&ecirc;u chu&#7849;n"
"Order Quantity","Th&ocirc;ng tin &#273;&#7863;t h&agrave;ng"
"Voltage", "&#272;i&#7879;n &aacute;p l&agrave;m vi&#7879;c"
"Working temperature", "Nhi&#7879;t &#273;&#7897; l&agrave;m vi&#7879;c"
"Sensitivity", "&#272;&#7897; nh&#7841;y"
"This product is currently out of stock.", "S&#7843;n ph&#7849;m n&agrave;y kh&ocirc;ng c&ograve;n &#273;&#7911; s&#7889; l&#432;&#7907;ng trong kho &#273;&#7875; b&#7841;n &#273;&#7863;t mua, h&atilde;y li&ecirc;n h&#7879; tr&#7921;c ti&#7871;p v&#7899;i ch&uacute;ng t&ocirc;i &#273;&#7875; bi&#7871;t th&ecirc;m th&ocirc;ng tin."
"Solution", "Gi&#7843;i ph&aacute;p"
"Services", "D&#7883;ch v&#7909;"
"Thong tin content", "Th&ocirc;ng tin"
"To day:", "Gi&aacute;: "
